939.52,1499.5,48790
755.79,1501.2,1.01E+05
561.94,1511.3,53667
696.69,1406.6,46267
634.87,1393.1,58744
581.45,1416.3,
605.09,3089.9,
1074.2,3263.2,
535.17,3032.9,
849,1259,
955.02,1238.8,
741.77,1172.6,
807.5,1856,
476.26,1995.5,
945.59,2106,
702.64,2034.1,
680.75,2149,
445.66,2175.7,
623.89,1332.4,
1082.4,1445.9,
728.83,1353.9,
830.34,1103.4,
582.24,1080.4,
922.52,1047.3,
842.35,1419.9,
616.21,1384.6,
729.89,1467.2,
774.41,885.61,
712.18,834.57,
917.69,844.16,
699.41,1144.9,
1015,1179.4,
524.33,1131.6,
797.67,1229.5,
855.13,1326.2,
729.39,1219.8,
767.36,1195.6,
823.6,1218.4,
688.21,1175.8,
726.27,1530.2,
987.09,1510.6,
883.8,1392.1,
675.11,1247.6,
670.52,1357,
543.34,1255.7,
520.02,1549.8,
720.82,1420.2,
599.86,1298.1,
640.99,2072,
687.15,2025.4,
530.46,2184.3,
650.39,1045.5,
569.63,1058.3,
633.73,1037.5,
1008.6,1396.9,
983.74,1344.7,
498.6,1479.9,
598.95,1376.3,
818.27,1303.3,
816.6,1325.5,
751.16,1716.8,
845.18,1657.8,
697.94,1684.4,
719.93,1829.1,
843.47,1806.7,
845.57,1658.9,
548.96,3118.6,
623.34,3232.3,
978.99,3232.4,
896.53,1890.4,
615.41,2037.6,
595.01,1931.1,
710.51,1737.8,
647.54,1696.5,
425.64,1593.5,
410.81,3060.3,
663.95,2840.8,
736.03,2642.7,
1025.8,2496.9,
1086.7,2422.2,
699.5,2423.6,
696.77,1829.2,
805.71,2019.1,
743.88,1837.6,
579.75,1245.5,
561.09,1189.8,
1019,1228.6,
906.43,2056.9,
926.51,2104.5,
852.95,1807.9,
617.77,1183.1,
593.39,1166.5,
721.48,1205,
743.16,2729,
913.81,2671.5,
895.71,2621.6,
794.58,1346.4,
753.71,1275.4,
891.86,1261.8,
927.73,1720.5,
710.88,1667.7,
648.42,1729.7,
1067.5,1108.9,
932.59,1248.2,
482.96,1167.5,
539.69,1447.2,
772.26,1480.7,
813.07,1343.4,
875.08,1090.6,
895.11,1099.1,
756.96,1100.9,
850.05,2160.5,
801.62,2064.9,
798.74,2021.5,
882.99,4633.7,
850.27,4562.7,
624.2,4358.1,
688.06,4973.2,
734.94,4260.4,
771.92,4378.9,