ID,Actual,Recon,Correction Need,Correction,Corrected
1,1012.9,1051.5,0.96,0.90524,951.85986
2,762.4,877.39,0.87,0.82278,721.8989442
3,596.9,632.68,0.94,0.83608,528.9710944
4,785.2,786.62,1.00,0.92061,724.1702382
5,723.9,732.44,0.99,0.85148,623.6580112
6,684.9,638.62,1.07,0.93339,596.0815218
7,642.6,648.06,0.99,0.86722,562.0105932
8,1137.6,1231.8,0.92,0.91658,1129.043244
9,587.9,630.09,0.93,0.82022,516.8124198
10,887.2,984.61,0.90,0.83969,826.7671709
11,952.8,1127,0.85,0.91597,1032.29819
12,797,867.37,0.92,0.86409,749.4857433
13,906.3,917.01,0.99,0.89724,822.7780524
14,582.6,529.09,1.10,0.87548,463.2077132
15,1037.8,1139.4,0.91,0.90528,1031.476032
16,661.7,805.69,0.82,0.84697,682.3952593
17,694.2,857.76,0.81,0.8876,761.347776
18,453.9,511.07,0.89,0.84127,429.9478589
19,789.8,722.24,1.09,0.92414,667.4508736
20,1176.7,1249.2,0.94,0.92113,1150.675596
21,781.5,822.97,0.95,0.89027,732.6655019
22,871.5,919.61,0.95,0.90158,829.1019838
23,651.2,677.83,0.96,0.86605,587.0346715
24,969.6,1061.9,0.91,0.93464,992.494216
25,956.6,967.33,0.99,0.90671,877.0877843
26,638.8,713.79,0.89,0.871,621.71109
27,814.4,838.64,0.97,0.8,670.912
28,923.8,902.06,1.02,0.88007,793.8759442
29,800.9,824.65,0.97,0.87876,724.669434
30,948,1035.2,0.92,0.82108,849.982016
31,767.7,781.04,0.98,0.87823,685.9327592
32,1074.5,1140.7,0.94,0.87512,998.249384
33,557.1,576.82,0.97,0.90774,523.6025868
34,841.8,877.94,0.96,0.82994,728.6375236
35,968.9,973.35,1.00,0.90697,882.7992495
36,778.7,839.42,0.93,0.88178,740.1837676
37,899.7,862.35,1.04,0.88224,760.799664
38,872.8,925.68,0.94,0.89244,826.1138592
39,740.9,778.66,0.95,0.9125,710.52725
40,802.7,843.46,0.95,0.8,674.768
41,1012.9,1099.2,0.92,0.91729,1008.285168
42,1012.9,1047.2,0.97,0.87594,917.284368
43,762.4,782.98,0.97,0.89588,701.4561224
44,762.4,785.77,0.97,0.89075,699.9246275
45,596.9,618.49,0.97,0.91454,565.6338446
46,596.9,578.19,1.03,0.92104,532.5361176
47,785.2,827.68,0.95,0.83053,687.4130704
48,785.2,696,1.13,0.81967,570.49032
49,723.9,766.59,0.94,0.85965,658.9990935
50,723.9,764.45,0.95,0.8593,656.891885
51,684.9,631.65,1.08,0.93142,588.331443
52,684.9,765.85,0.89,0.90364,692.052694
53,642.6,635.93,1.01,0.82787,526.4673691
54,642.6,725.07,0.89,0.81057,587.7199899
55,1137.6,1199,0.95,0.89623,1074.57977
56,1137.6,1133.4,1.00,0.8,906.72
57,587.9,572.73,1.03,0.85078,487.2672294
58,587.9,659.42,0.89,0.83844,552.8841048
59,887.2,933.26,0.95,0.85932,801.9689832
60,887.2,913.17,0.97,0.82449,752.8995333
61,952.8,849.15,1.12,0.92996,789.675534
62,952.8,983.54,0.97,0.85428,840.2185512
63,797,808.19,0.99,0.86741,701.0320879
64,797,810.73,0.98,0.90633,734.7889209
65,906.3,930.24,0.97,0.85703,797.2435872
66,906.3,922.39,0.98,0.86261,795.6628379
67,582.6,641.14,0.91,0.90264,578.7186096
68,582.6,686.83,0.85,0.86297,592.7136851
69,1037.8,1053.7,0.98,0.80866,852.085042
70,1037.8,1040.3,1.00,0.86233,897.081899
71,661.7,661.27,1.00,0.82752,547.2141504
72,661.7,658.48,1.00,0.83289,548.4414072
73,694.2,796.32,0.87,0.85217,678.6000144
74,694.2,717.53,0.97,0.88814,637.2670942
75,453.9,489.3,0.93,0.8,391.44
76,453.9,475.76,0.95,0.8,380.608
77,789.8,754.23,1.05,0.88792,669.6959016
78,789.8,869.69,0.91,0.88041,765.6837729
79,1176.7,1169.7,1.01,0.93549,1094.242653
80,1176.7,1018.1,1.16,0.8715,887.27415
81,781.5,807.96,0.97,0.89048,719.4722208
82,781.5,828.58,0.94,0.90276,748.0088808
83,871.5,946.42,0.92,0.92265,873.214413
84,871.5,881.52,0.99,0.861,758.98872
85,651.2,648.34,1.00,0.86478,560.6714652
86,651.2,624.78,1.04,0.86703,541.7030034
87,969.6,1181.5,0.82,0.88927,1050.672505
88,969.6,1061.2,0.91,0.91009,965.787508
89,956.6,1072.5,0.89,0.88322,947.25345
90,956.6,1013.1,0.94,0.88032,891.852192
91,638.8,699.46,0.91,0.85544,598.3460624
92,638.8,680.77,0.94,0.85345,581.0031565
93,814.4,828.98,0.98,0.84245,698.374201
94,814.4,859.59,0.95,0.80789,694.4541651
95,923.8,1019.4,0.91,0.91683,934.616502
96,923.8,1035.4,0.89,0.87603,907.041462
97,800.9,941.15,0.85,0.85617,805.7843955
98,800.9,865.56,0.93,0.85007,735.7865892
99,948,1013.6,0.94,0.8594,871.08784
100,948,1069.6,0.89,0.85117,910.411432
101,767.7,806.52,0.95,0.87129,702.7128108
102,767.7,756.28,1.02,0.85359,645.5530452
103,1074.5,1192.2,0.90,0.91894,1095.560268
104,1074.5,1052.7,1.02,0.84923,893.984421
105,557.1,550.19,1.01,0.8,440.152
106,557.1,604.98,0.92,0.90313,546.3755874
107,841.8,888.83,0.95,0.85062,756.0565746
108,841.8,946.95,0.89,0.8566,811.15737
109,968.9,972.27,1.00,0.91038,885.1351626
110,968.9,965.86,1.00,0.91599,884.7181014
111,778.7,888.71,0.88,0.85475,759.6248725
112,778.7,942.53,0.83,0.8163,769.387239
113,899.7,947.38,0.95,0.90942,861.5663196
114,899.7,869.4,1.03,0.8986,781.24284
115,872.8,1010.3,0.86,0.85566,864.473298
116,872.8,964.47,0.90,0.84538,815.3436486
117,740.9,708.99,1.05,0.8986,637.098414
118,740.9,782.42,0.95,0.8898,696.197316
119,802.7,821.29,0.98,0.8,657.032
120,802.7,928.13,0.86,0.82935,769.7446155